City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Kondinskoye,RU,2022-05-21 21:32:57,59.6481,67.41,47.28,90,100,19.1
141,Port Elizabeth,ZA,2022-05-21 21:32:58,-33.918,25.5701,55.69,88,75,8.05
142,Cabo San Lucas,MX,2022-05-21 21:32:57,22.8909,-109.9124,85.6,53,0,13.8
143,Kabanjahe,ID,2022-05-21 21:32:58,3.1001,98.4908,63.72,97,100,3.76
144,Mount Gambier,AU,2022-05-21 21:32:59,-37.8333,140.7667,44.46,91,11,5.14
145,Vardo,NO,2022-05-21 21:32:59,70.3705,31.1107,37.38,87,100,24.16
146,Benguela,AO,2022-05-21 21:32:59,-12.5763,13.4055,69.64,81,89,3.47
147,Lorengau,PG,2022-05-21 21:33:00,-2.0226,147.2712,82.04,81,100,9.53
148,Praia,CV,2022-05-21 21:33:00,14.9215,-23.5087,72.14,73,20,13.8
149,Ouango,CF,2022-05-21 21:33:01,4.3133,22.5552,69.94,91,93,2.57
150,Adeje,ES,2022-05-21 21:33:01,28.1227,-16.726,69.15,71,20,11.5
151,Askarovo,RU,2022-05-21 21:33:01,53.3372,58.5089,32.95,86,40,8.95
152,Kirensk,RU,2022-05-21 21:33:02,57.7853,108.1119,49.69,91,83,11.95
153,Berck,FR,2022-05-21 21:33:02,50.4,1.6,53.51,93,0,2.3
154,Sao Filipe,CV,2022-05-21 21:33:03,14.8961,-24.4956,73.06,79,40,11.01
155,Mutoko,ZW,2022-05-21 21:33:03,-17.397,32.2268,59.56,81,9,1.59
156,Nuuk,GL,2022-05-21 21:33:04,64.1835,-51.7216,38.01,87,75,18.41
157,Nyurba,RU,2022-05-21 21:31:29,63.2842,118.3319,50.45,76,98,3.2
158,Berdigestyakh,RU,2022-05-21 21:33:04,62.0989,126.6992,47.97,61,16,2.59
159,Port Augusta,AU,2022-05-21 21:33:05,-32.5,137.7667,51.37,88,0,3.74
160,Raudeberg,NO,2022-05-21 21:31:47,61.9875,5.1352,48.96,85,99,13.82
161,Montanha,BR,2022-05-21 21:33:05,-18.1269,-40.3633,65.52,83,27,9.6
162,Broome,US,2022-05-21 21:30:05,42.2506,-75.833,92.01,52,0,12.66
163,Fortuna,US,2022-05-21 21:33:06,40.5982,-124.1573,64.85,70,0,17.27
164,Chokurdakh,RU,2022-05-21 21:33:07,70.6333,147.9167,33.62,100,100,4.45
165,Hay River,CA,2022-05-21 21:33:07,60.8156,-115.7999,55.38,50,75,10.36
166,Sarangani,PH,2022-05-21 21:33:08,5.4033,125.4636,83.37,72,100,5.86
167,Gat,IL,2022-05-21 21:30:04,31.61,34.7642,77.4,100,93,11.3
168,Deputatskiy,RU,2022-05-21 21:30:21,69.3,139.9,31.44,99,97,1.36
169,Sept-Iles,CA,2022-05-21 21:33:09,50.2001,-66.3821,47.05,96,100,2.3
170,Nikolskoye,RU,2022-05-21 21:33:09,59.7035,30.7861,46.29,65,3,7.4
171,Dingle,PH,2022-05-21 21:33:10,10.9995,122.6711,76.98,90,87,3.85
172,Coquimbo,CL,2022-05-21 21:33:10,-29.9533,-71.3436,58.73,88,75,14.97
173,Bethel,US,2022-05-21 21:33:10,41.3712,-73.414,92.34,57,0,11.5
174,Srivardhan,IN,2022-05-21 21:33:11,18.0333,73.0167,83.46,72,30,6.69
175,Berlevag,NO,2022-05-21 21:29:57,70.8578,29.0864,39.2,87,100,13.8
176,Yar-Sale,RU,2022-05-21 21:33:12,66.8333,70.8333,30.34,82,100,12.73
177,Arraial Do Cabo,BR,2022-05-21 21:33:12,-22.9661,-42.0278,67.96,77,0,5.75
178,Lebu,CL,2022-05-21 21:32:54,-37.6167,-73.65,53.13,88,97,8.3
179,Guiyang,CN,2022-05-21 21:33:13,26.5833,106.7167,57.69,100,100,4.47
180,Zhaozhou,CN,2022-05-21 21:33:13,45.6833,125.3167,60.4,50,9,4.9
