City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
570,North Myrtle Beach,US,76.12,broken clouds,33.82,-78.68,Avista Resort
572,Alugan,PH,84.85,overcast clouds,12.22,125.48,JM Lodge
574,Auki,SB,84.76,scattered clouds,-8.77,160.7,Auki Motel
575,Akyab,MM,80.19,light rain,20.15,92.9,Hotel Memory
576,Pundaguitan,PH,83.17,overcast clouds,6.37,126.17,Leonardo Family Beach House 1
577,Nicoya,CR,78.46,overcast clouds,10.15,-85.45,Las Cabinas Del Sueño
587,Denpasar,ID,85.71,few clouds,-8.65,115.22,Warna Kedaton Hotel and Meetings
590,Kodinar,IN,85.42,overcast clouds,20.79,70.7,"Hotel Krishna Park, Kodinar"
592,Along,IN,79.25,overcast clouds,28.17,94.77,Hotel West
600,Zhumadian,CN,84.06,clear sky,32.98,114.03,Ouyue House Hotel
603,Qeshm,IR,84.07,clear sky,26.96,56.27,Kimia IV Hotel
605,Honiara,SB,85.19,scattered clouds,-9.43,159.95,Heritage Park Hotel
606,Marsh Harbour,BS,78.26,clear sky,26.54,-77.06,Abaco Beach Resort
607,Kijini,TZ,76.24,overcast clouds,-5.85,39.32,Green and Blue Ocean Lodge
611,Acapulco,MX,82.22,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
615,Itarema,BR,75.06,clear sky,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
617,Bacolod,PH,87.06,overcast clouds,10.67,122.95,Planta Hotel & Residences
620,Maumere,ID,85.19,broken clouds,-8.62,122.21,Sylvia Hotel
629,Bodden Town,KY,82.4,haze,19.28,-81.25,Will T Place
630,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
638,Noumea,NC,79.0,broken clouds,-22.28,166.46,Hôtel Le Lagon
645,Korla,CN,81.09,overcast clouds,41.76,86.15,Gulisitan Hotel
647,Bilma,NE,82.92,broken clouds,18.69,12.92,Expeditions Ténére voyages
650,Biak,ID,82.02,scattered clouds,-0.91,122.88,Penginapan Kim
653,Yurimaguas,PE,75.07,broken clouds,-5.9,-76.08,Rio Huallaga Hotel & Business Center
659,Lhokseumawe,ID,85.71,overcast clouds,5.18,97.15,OYO 3278 Penginapan Alfajri
660,Marawi,PH,80.49,overcast clouds,8.0,124.29,Derogongan Residence
663,Canutama,BR,75.83,overcast clouds,-6.53,-64.38,Hotel Jhennifer
664,Yashan,CN,80.92,overcast clouds,22.2,109.94,Xin Kaibin Guan
665,Kontagora,NG,76.42,overcast clouds,10.4,5.47,Queens Guest Inn
669,Namatanai,PG,85.46,scattered clouds,-3.67,152.43,Seagulls Inn Namatani
671,Lamu,KE,79.02,overcast clouds,-2.27,40.9,Lamu House
677,Kieta,PG,84.87,few clouds,-6.22,155.63,Uruna Bay Retreat
